product_id,product_name,acquisition_time_utc,completion_time_utc,s3_path,geo_footprint,collection,product_type,region_name,search_timestamp_utc,acquisition_date,acquisition_hour_utc
190c733b-5888-4a07-964b-91ea22452d33,S1D_IW_GRDH_1SDV_20260709T123836_20260709T123901_003597_006661_9151.SAFE,2026-07-09 12:38:36.007743+00:00,2026-07-09 12:39:01.006428+00:00,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/07/09/S1D_IW_GRDH_1SDV_20260709T123836_20260709T123901_003597_006661_9151.SAFE,"{'type': 'Polygon', 'coordinates': [[[79.414482, 30.894836], [79.692436, 29.378328], [82.299438, 29.790312], [82.061485, 31.302862], [79.414482, 30.894836]]]}",SENTINEL-1,IW_GRDH_1S,Joshimath–Vishnuprayag–Badrinath Corridor,2026-09-09T16:20:03Z,2026-07-09,12
d6841898-0f10-4892-a8e3-89cf93df24d0,S1D_IW_GRDH_1SDV_20260710T004236_20260710T004301_003604_00669E_A5D3.SAFE,2026-07-10 00:42:36.705738+00:00,2026-07-10 00:43:01.705519+00:00,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/07/10/S1D_IW_GRDH_1SDV_20260710T004236_20260710T004301_003604_00669E_A5D3.SAFE,"{'type': 'Polygon', 'coordinates': [[[80.213356, 30.277309], [80.530891, 31.787355], [77.86602, 32.192833], [77.590073, 30.685892], [80.213356, 30.277309]]]}",SENTINEL-1,IW_GRDH_1S,Joshimath–Vishnuprayag–Badrinath Corridor,2026-09-09T16:20:03Z,2026-07-10,0
dfec19fd-1c3d-467d-992d-54b6841e171c,S1D_IW_GRDH_1SDV_20260714T124650_20260714T124715_003670_0068E5_967F.SAFE,2026-07-14 12:46:50.690431+00:00,2026-07-14 12:47:15.689580+00:00,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/07/14/S1D_IW_GRDH_1SDV_20260714T124650_20260714T124715_003670_0068E5_967F.SAFE,"{'type': 'Polygon', 'coordinates': [[[77.30349, 30.920815], [77.609947, 29.408909], [80.212051, 29.820328], [79.945625, 31.328932], [77.30349, 30.920815]]]}",SENTINEL-1,IW_GRDH_1S,Joshimath–Vishnuprayag–Badrinath Corridor,2026-09-09T16:20:03Z,2026-07-14,12
f975132e-d225-4410-a674-7adef0db96e2,S1D_IW_GRDH_1SDV_20260717T003430_20260717T003455_003706_006A22_C860.SAFE,2026-07-17 00:34:30.107051+00:00,2026-07-17 00:34:55.106373+00:00,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/07/17/S1D_IW_GRDH_1SDV_20260717T003430_20260717T003455_003706_006A22_C860.SAFE,"{'type': 'Polygon', 'coordinates': [[[82.166588, 29.888], [82.497551, 31.395754], [79.843742, 31.801836], [79.554207, 30.296822], [82.166588, 29.888]]]}",SENTINEL-1,IW_GRDH_1S,Joshimath–Vishnuprayag–Badrinath Corridor,2026-09-09T16:20:03Z,2026-07-17,0
79ecf3a6-75f2-470a-b145-bd46aea94e50,S1D_IW_GRDH_1SDV_20260721T123836_20260721T123901_003772_006C57_13CF.SAFE,2026-07-21 12:38:36.924497+00:00,2026-07-21 12:39:01.923879+00:00,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/07/21/S1D_IW_GRDH_1SDV_20260721T123836_20260721T123901_003772_006C57_13CF.SAFE,"{'type': 'Polygon', 'coordinates': [[[79.414536, 30.894945], [79.692513, 29.378389], [82.289932, 29.78896], [82.051811, 31.301577], [79.414536, 30.894945]]]}",SENTINEL-1,IW_GRDH_1S,Joshimath–Vishnuprayag–Badrinath Corridor,2026-09-09T16:20:03Z,2026-07-21,12
25c2027a-080e-4ae3-bec4-a9f4ee04d736,S1D_IW_GRDH_1SDV_20260726T124651_20260726T124716_003845_006EDE_19F1.SAFE,2026-07-26 12:46:51.502951+00:00,2026-07-26 12:47:16.501191+00:00,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/07/26/S1D_IW_GRDH_1SDV_20260726T124651_20260726T124716_003845_006EDE_19F1.SAFE,"{'type': 'Polygon', 'coordinates': [[[77.303238, 30.92091], [77.60968, 29.409052], [80.206383, 29.819647], [79.939888, 31.328215], [77.303238, 30.92091]]]}",SENTINEL-1,IW_GRDH_1S,Joshimath–Vishnuprayag–Badrinath Corridor,2026-09-09T16:20:03Z,2026-07-26,12
51587eeb-a2d6-4716-a266-a420d5ed0a3d,S1D_IW_GRDH_1SDV_20260729T003430_20260729T003455_003881_00701D_6125.SAFE,2026-07-29 00:34:30.608682+00:00,2026-07-29 00:34:55.606415+00:00,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/07/29/S1D_IW_GRDH_1SDV_20260729T003430_20260729T003455_003881_00701D_6125.SAFE,"{'type': 'Polygon', 'coordinates': [[[82.166298, 29.888037], [82.497208, 31.395704], [79.843399, 31.801754], [79.553909, 30.296827], [82.166298, 29.888037]]]}",SENTINEL-1,IW_GRDH_1S,Joshimath–Vishnuprayag–Badrinath Corridor,2026-09-09T16:20:03Z,2026-07-29,0
294b924c-fe70-4f01-a597-4fe9ecabf878,S1D_IW_GRDH_1SDV_20260802T123837_20260802T123902_003947_007278_E106.SAFE,2026-08-02 12:38:37.471726+00:00,2026-08-02 12:39:02.471133+00:00,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/08/02/S1D_IW_GRDH_1SDV_20260802T123837_20260802T123902_003947_007278_E106.SAFE,"{'type': 'Polygon', 'coordinates': [[[79.415237, 30.894991], [79.693176, 29.378433], [82.290604, 29.788961], [82.052521, 31.30158], [79.415237, 30.894991]]]}",SENTINEL-1,IW_GRDH_1S,Joshimath–Vishnuprayag–Badrinath Corridor,2026-09-09T16:20:03Z,2026-08-02,12
506b739a-9640-435b-ac3e-91a9c5aa52b7,S1D_IW_GRDH_1SDV_20260803T004238_20260803T004303_003954_0072B9_5D3A.SAFE,2026-08-03 00:42:38.150681+00:00,2026-08-03 00:43:03.149044+00:00,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/08/03/S1D_IW_GRDH_1SDV_20260803T004238_20260803T004303_003954_0072B9_5D3A.SAFE,"{'type': 'Polygon', 'coordinates': [[[80.213402, 30.277338], [80.530884, 31.787296], [77.865906, 32.192768], [77.590012, 30.685915], [80.213402, 30.277338]]]}",SENTINEL-1,IW_GRDH_1S,Joshimath–Vishnuprayag–Badrinath Corridor,2026-09-09T16:20:03Z,2026-08-03,0
806e05fd-baae-49dc-9531-0f3b738cc5eb,S1D_IW_GRDH_1SDV_20260807T124651_20260807T124716_004020_0074FB_8290.SAFE,2026-08-07 12:46:51.866782+00:00,2026-08-07 12:47:16.864963+00:00,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/08/07/S1D_IW_GRDH_1SDV_20260807T124651_20260807T124716_004020_0074FB_8290.SAFE,"{'type': 'Polygon', 'coordinates': [[[77.303642, 30.920948], [77.6101, 29.409092], [80.206802, 29.819712], [79.940292, 31.328278], [77.303642, 30.920948]]]}",SENTINEL-1,IW_GRDH_1S,Joshimath–Vishnuprayag–Badrinath Corridor,2026-09-09T16:20:03Z,2026-08-07,12
59148521-2dbf-4e02-8966-9f267aaace44,S1D_IW_GRDH_1SDV_20260810T003431_20260810T003456_004056_007638_E826.SAFE,2026-08-10 00:34:31.240504+00:00,2026-08-10 00:34:56.239816+00:00,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/08/10/S1D_IW_GRDH_1SDV_20260810T003431_20260810T003456_004056_007638_E826.SAFE,"{'type': 'Polygon', 'coordinates': [[[82.166222, 29.887955], [82.497169, 31.39571], [79.843262, 31.801798], [79.553741, 30.296783], [82.166222, 29.887955]]]}",SENTINEL-1,IW_GRDH_1S,Joshimath–Vishnuprayag–Badrinath Corridor,2026-09-09T16:20:03Z,2026-08-10,0
