pseudocode,sdmp_plan_yn,struct_safaud_yn,nonstr_safaud_yn,cctv_cam_yn,fire_ext_yn,nodal_tch_yn,safty_trng_yn,dismgmt_taug_yn,slfdef_grt_yn,slfdef_trained,guide_display_yn,tch_first_level_counsellor,safe_sec_audit,teacher_displaying_photo,vidya_pravesh,stu_atndnc_yn,tch_atndnc_yn,sch_youth_club_yn,sch_eco_club_yn,tch_icard_yn,self_cert_obtained_yn
3943524,1,1,1,2,1,1,2,1,9,0,1,1,1,1,1,2,2,1,1,1,1
4389030,1,1,1,2,1,1,1,1,9,0,1,2,2,1,1,2,2,1,1,1,1
9735821,1,1,1,2,1,1,1,1,9,0,1,2,2,1,1,2,2,1,1,1,1
3522632,1,2,2,2,1,2,2,1,9,0,1,2,4,1,1,2,2,2,1,1,2
3600118,1,1,1,1,1,1,1,1,9,0,1,1,1,1,1,1,1,2,1,1,1
2546919,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
3907543,1,2,1,2,1,1,1,1,9,0,1,1,3,1,1,2,2,1,1,1,1
2198987,1,1,2,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
3740033,1,2,1,2,1,1,1,1,9,0,1,2,4,1,1,2,2,2,1,1,1
7315174,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
8436626,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,2,1,1,1
8873227,1,2,2,2,1,1,1,1,9,0,1,1,6,1,1,2,2,1,1,1,1
2555804,1,1,1,2,1,1,1,1,1,35,1,1,6,1,1,2,2,1,1,1,1
8467816,1,1,1,2,1,1,1,1,1,0,1,2,2,1,2,2,2,1,1,1,1
5670829,1,1,1,2,1,1,1,1,2,0,1,1,2,1,1,2,2,1,1,1,1
7863935,1,1,1,2,1,1,1,1,1,20,1,1,2,1,1,2,2,1,1,1,1
3840891,1,1,1,2,1,1,1,1,2,0,1,1,3,1,1,2,2,1,1,1,2
6235394,1,1,1,2,1,1,1,1,2,0,1,1,6,1,1,2,2,1,1,1,2
7705468,1,2,1,2,1,1,1,1,1,25,1,1,2,1,1,2,3,1,1,1,1
1890783,1,2,2,1,1,1,1,1,2,0,1,1,1,1,2,2,3,1,1,2,1
9242415,1,1,1,1,1,1,1,1,1,25,1,1,2,1,1,2,3,1,1,1,1
6824113,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,2,1,1,1
2965943,1,1,2,1,1,1,1,1,2,0,1,2,2,1,1,1,1,1,1,1,1
6154957,1,1,1,2,1,1,1,1,9,0,1,1,3,1,1,2,2,2,1,1,1
8741847,1,1,2,1,1,1,1,1,9,0,1,2,4,1,1,1,1,2,1,1,1
1767209,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
