pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn,librarian_yn,land_avl_yn,kitchen_garden_yn,staff_qtr_yn,tinkering_lab_yn,boarding_pri_yn,boarding_upr_yn,boarding_sec_yn,boarding_hsec_yn,cyber_safety,psycho_social,enrichment_activities
4364996,3,1,1,2,5,2,4,0,1,1,2,2,2,2,0,0,0,0,0,0,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,2,0,0,0,0,0,1,1,2,3,2,2,1,2,2,9,9,2,9,0,0,1
7134679,3,1,1,1,2,1,2,0,0,1,2,1,1,1,1,1,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1
3953329,3,1,1,2,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1
5820108,3,1,1,1,1,0,1,0,0,2,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,1,0,1
2717162,3,1,0,2,1,3,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,10,10,1
8085991,3,1,0,2,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,5,0,1
3162920,3,1,1,1,2,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,7,0,1
7737837,3,1,1,2,3,3,0,3,0,1,1,1,1,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,3,0,0,0,0,0,1,1,2,3,2,1,1,9,9,9,9,9,9,12,13,1
9412716,3,1,1,2,2,2,0,0,2,1,1,1,1,1,0,0,0,0,1,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,2,0,0,0,0,0,1,1,2,3,2,1,1,9,9,2,9,9,9,0,0,1
4992651,3,8,7,5,9,8,6,1,2,1,2,2,2,1,0,0,0,0,0,0,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,9,1,4,4,4,4,4,4,4,4,4,1,1,0,0,8,0,1,0,1,0,2,1,2,3,2,1,1,2,1,9,9,2,2,18,0,1
3956203,3,1,1,1,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1
8435333,3,1,1,2,4,1,3,0,1,1,2,2,2,2,0,0,0,0,0,0,1,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,17,17,1
8491633,3,1,1,2,2,2,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,2,2,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1
5714447,1,1,1,1,3,3,3,0,0,2,1,1,1,1,0,0,0,0,2,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,1,1,3,2,2,1,9,9,9,9,9,9,0,0,1
2449088,3,1,1,8,3,3,3,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,0,1,3,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,0,0,1
6638579,3,2,2,5,10,14,10,0,0,1,3,3,2,2,0,0,0,0,5,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,2,9,1,2,2,2,2,4,4,4,4,4,1,1,3,1,5,0,2,1,2,1,3,1,2,3,2,1,1,2,1,9,9,2,2,195,195,1
6298139,3,2,2,1,3,4,3,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,0,0,2,0,0,0,0,0,2,1,2,3,2,2,1,2,2,9,9,2,9,54,0,1
2112714,3,1,1,2,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,1,3,2,2,1,9,9,2,9,9,9,15,15,1
9989722,3,4,1,3,8,5,4,2,2,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,1,1,1,1,2,3,2,1,1,2,2,9,9,2,9,0,0,1
3313925,3,1,1,5,3,2,3,0,0,1,2,2,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,1,1,2,3,2,1,1,9,9,9,9,9,9,0,0,1
2605737,3,1,1,2,2,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,3,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,1,1,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1
9485041,3,1,1,7,3,2,3,0,0,1,2,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,1,2,3,2,1,1,9,9,9,9,9,9,45,0,1
1961414,3,2,2,1,2,3,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,3,1,1,1,9,9,2,9,9,9,18,18,1
5263671,3,1,1,1,7,5,4,3,0,1,3,3,2,2,0,0,0,0,3,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,0,0,3,0,0,0,0,0,1,1,2,3,2,1,1,2,2,9,9,2,9,17,13,1
6630117,3,1,1,1,2,0,2,0,0,2,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,2,0,0,0,0,0,0,1,2,3,1,1,1,9,9,2,9,9,9,0,0,1
6675372,3,1,1,2,2,1,2,0,0,1,2,2,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,2,2,3,2,1,1,9,9,2,9,9,9,65,65,1
8333592,3,1,1,1,9,3,7,0,2,1,3,1,2,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,9,2,4,4,4,4,4,4,4,4,4,2,9,0,0,4,0,0,0,0,0,2,1,2,3,2,1,1,2,2,9,9,2,2,427,427,1
6180717,3,1,1,1,3,2,3,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,9,9,9,9,9,9,9,0,1
8873227,3,2,2,2,2,0,2,0,0,2,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,1,1,1,9,9,2,9,9,9,0,0,1
1728778,3,1,1,1,3,4,3,0,0,1,1,1,2,2,0,0,0,0,2,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,1,2,3,2,2,1,9,9,9,9,9,9,0,0,1
5302343,3,1,1,1,2,1,0,2,0,1,1,0,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,0,0,1
7381041,3,1,1,2,3,1,1,2,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,2,0,0,0,1,1,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1
4406408,3,1,1,2,2,0,2,0,0,2,1,1,1,1,0,0,0,0,2,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,2,0,0,0,1,0,0,1,2,1,2,1,1,9,9,2,9,9,9,0,0,2
6117397,3,1,1,2,7,7,7,0,0,1,4,0,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,2,9,2,2,2,2,4,4,4,4,4,2,1,2,0,0,11,0,0,0,2,1,3,1,2,3,2,1,1,2,2,9,9,2,2,0,0,1
5552260,3,2,2,5,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,0,0,1
3153961,3,1,1,2,3,2,3,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,4,0,0,0,0,0,1,1,1,3,2,1,1,9,9,9,9,9,9,15,0,1
4973120,3,1,1,2,3,2,3,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1
9650468,3,1,1,2,2,2,2,0,0,1,1,0,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,1,0,1
5706625,3,1,1,2,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1
2177407,3,1,1,2,3,2,3,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,9,9,9,9,5,5,1
5137553,3,3,3,1,7,13,0,7,0,1,3,3,3,3,2,2,2,2,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,9,1,2,9,1,2,2,2,2,3,2,3,3,2,1,1,1,3,24,0,0,0,3,2,4,1,1,3,2,1,1,2,1,9,9,2,2,285,285,1
1118379,3,2,0,2,2,2,0,2,0,1,1,1,1,1,1,1,1,1,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,2,2,3,2,1,1,9,9,2,9,9,9,115,115,1
8355171,3,2,2,2,2,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,1,0,1,2,3,2,1,1,9,9,2,9,9,9,10,0,1
3254104,3,1,1,2,2,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,1,1,2,3,2,1,1,9,9,2,9,9,9,0,0,1
3777185,3,2,2,2,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,12,0,1
7152550,3,1,1,2,2,1,0,2,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,1,0,0,1,2,3,2,1,1,9,9,2,9,9,9,20,0,1
1488198,3,1,1,5,2,1,2,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,1,1,2,3,2,1,1,9,9,2,9,9,9,0,0,2
6016995,3,2,2,1,3,2,2,0,1,1,2,2,1,1,1,1,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,3,0,0,0,0,0,1,1,2,3,2,1,1,9,9,2,9,9,9,0,0,1
7997760,3,1,1,1,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,1,1,1,9,9,2,9,9,9,0,0,1
5007593,3,2,2,5,2,1,0,0,2,1,2,2,3,3,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,11,11,1
7806829,3,1,1,1,2,1,2,0,0,1,1,1,1,1,0,0,0,0,1,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,2,0,0,0,0,0,1,1,1,3,2,1,1,9,9,2,9,9,9,0,0,1
4857405,3,2,2,2,2,2,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1
8301306,3,1,1,2,2,2,0,2,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,0,0,1
6118955,3,1,1,2,2,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,23,23,1
1294087,3,1,1,2,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,0,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,1,0,1
1296093,3,1,1,5,4,3,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,0,0,1
8006033,3,1,1,1,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,0,2,1,0,0,0,0,0,0,1,2,3,2,2,1,9,9,2,9,9,9,0,0,1
1542129,3,1,1,2,2,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,2,1,0,0,0,0,0,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,1,2,3,2,1,1,9,9,2,9,9,9,18,0,1
9846087,3,3,2,2,3,3,3,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,1,0,0,1,1,1,2,3,2,1,1,9,9,2,9,9,9,0,0,1
2976903,3,6,6,5,6,1,4,2,0,1,3,3,3,3,0,0,1,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,4,0,0,0,1,0,1,1,2,3,2,2,1,9,9,2,9,9,9,55,55,1
