_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly River Water Discharge (m3/sec),discharge_change_m3s,time_difference_hours,discharge_rate_m3s_per_hour,discharge_rolling_mean_1h,discharge_rolling_std_1h,discharge_change_abs,discharge_rate_abs,anomaly_flag,anomaly_score,anomaly_label
40033,40033,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 04:45:00,6.68,0.1999999999999993,0.25,0.7999999999999972,6.6975,0.19771612647092582,0.1999999999999993,0.7999999999999972,1,-0.30100957673808065,NORMAL
40034,40034,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:00:00,6.7,0.0200000000000004,0.25,0.0800000000000018,6.705,0.19689252567496593,0.0200000000000004,0.0800000000000018,1,-0.289800622434661,NORMAL
40035,40035,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:15:00,6.9,0.2000000000000001,0.25,0.8000000000000007,6.69,0.17165857586111796,0.2000000000000001,0.8000000000000007,1,-0.29989842618043866,NORMAL
40036,40036,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:30:00,6.76,-0.1400000000000005,0.25,-0.5600000000000023,6.76,0.09933109617167742,0.1400000000000005,0.5600000000000023,1,-0.2988561381913499,NORMAL
40037,40037,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:45:00,6.53,-0.2299999999999995,0.25,-0.9199999999999982,6.7225,0.1532699144211517,0.2299999999999995,0.9199999999999982,1,-0.300507785369716,NORMAL
40038,40038,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:15:00,6.44,-0.0899999999999998,0.5,-0.1799999999999997,6.6575,0.21045585443666653,0.0899999999999998,0.1799999999999997,1,-0.29593032227180044,NORMAL
40039,40039,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:30:00,6.77,0.3299999999999992,0.25,1.3199999999999967,6.625,0.16583123951777215,0.3299999999999992,1.3199999999999967,1,-0.2918533693848189,NORMAL
40040,40040,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:45:00,6.46,-0.3099999999999996,0.25,-1.2399999999999984,6.550000000000001,0.15165750888103482,0.3099999999999996,1.2399999999999984,1,-0.29449388352917544,NORMAL
40041,40041,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:00:00,6.88,0.4199999999999999,0.25,1.6799999999999995,6.6375,0.22126530078919707,0.4199999999999999,1.6799999999999995,1,-0.28042669975029816,NORMAL
40042,40042,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:15:00,6.82,-0.0599999999999996,0.25,-0.2399999999999984,6.7325,0.1871496727221288,0.0599999999999996,0.2399999999999984,1,-0.29591646224000456,NORMAL
40043,40043,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:30:00,6.97,0.1499999999999994,0.25,0.5999999999999979,6.7825,0.22366269246344944,0.1499999999999994,0.5999999999999979,1,-0.2980590632978025,NORMAL
40044,40044,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:45:00,6.65,-0.3199999999999994,0.25,-1.2799999999999976,6.83,0.13490737563231758,0.3199999999999994,1.2799999999999976,1,-0.2921547096195606,NORMAL
40045,40045,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:00:00,6.5,-0.1500000000000003,0.25,-0.6000000000000014,6.735,0.2040424792373718,0.1500000000000003,0.6000000000000014,1,-0.30231811492252825,NORMAL
40046,40046,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:15:00,6.8,0.2999999999999998,0.25,1.1999999999999993,6.73,0.20149441679609875,0.2999999999999998,1.1999999999999993,1,-0.29217825315647467,NORMAL
40047,40047,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:30:00,6.51,-0.29,0.25,-1.16,6.615,0.14106735979666218,0.29,1.16,1,-0.2955542200148672,NORMAL
40048,40048,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 08:45:00,6.61,0.1000000000000005,0.25,0.4000000000000021,6.6049999999999995,0.13916417163432432,0.1000000000000005,0.4000000000000021,1,-0.30327059266194983,NORMAL
40049,40049,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:00:00,6.74,0.1299999999999999,0.25,0.5199999999999996,6.665,0.1302561578838682,0.1299999999999999,0.5199999999999996,1,-0.3022101026982031,NORMAL
40050,40050,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:15:00,6.7,-0.04,0.25,-0.1600000000000001,6.64,0.10230672835482241,0.04,0.1600000000000001,1,-0.29317803352963406,NORMAL
40051,40051,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:30:00,6.76,0.0599999999999996,0.25,0.2399999999999984,6.702500000000001,0.06652067347825297,0.0599999999999996,0.2399999999999984,1,-0.2923565207239616,NORMAL
40052,40052,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 09:45:00,6.71,-0.0499999999999998,0.25,-0.1999999999999993,6.7275,0.027537852736434523,0.0499999999999998,0.1999999999999993,1,-0.2877358324123349,NORMAL
40053,40053,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:00:00,6.47,-0.2400000000000002,0.25,-0.9600000000000009,6.66,0.12935738607955055,0.2400000000000002,0.9600000000000009,1,-0.299470204975461,NORMAL
40054,40054,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:15:00,6.7,0.2300000000000004,0.25,0.9200000000000016,6.66,0.12935738607955055,0.2300000000000004,0.9200000000000016,1,-0.29892514656325264,NORMAL
40055,40055,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:30:00,6.75,0.0499999999999998,0.25,0.1999999999999993,6.657500000000001,0.12685293322058913,0.0499999999999998,0.1999999999999993,1,-0.2955554812300972,NORMAL
40056,40056,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:45:00,6.64,-0.1100000000000003,0.25,-0.4400000000000013,6.640000000000001,0.12192894105448204,0.1100000000000003,0.4400000000000013,1,-0.30111163871956725,NORMAL
40057,40057,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:00:00,6.55,-0.0899999999999998,0.25,-0.3599999999999994,6.66,0.08602325267042932,0.0899999999999998,0.3599999999999994,1,-0.3001717029185722,NORMAL
40058,40058,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:15:00,6.44,-0.1099999999999994,0.25,-0.4399999999999977,6.595,0.13178264933847514,0.1099999999999994,0.4399999999999977,1,-0.30344949358406903,NORMAL
40059,40059,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:30:00,6.79,0.3499999999999996,0.25,1.3999999999999986,6.6049999999999995,0.1479864858694901,0.3499999999999996,1.3999999999999986,1,-0.28801553674309643,NORMAL
40060,40060,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:45:00,6.63,-0.1600000000000001,0.25,-0.6400000000000006,6.602500000000001,0.1472809107341052,0.1600000000000001,0.6400000000000006,1,-0.3041559828209086,NORMAL
40061,40061,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:00:00,6.72,0.0899999999999998,0.25,0.3599999999999994,6.6450000000000005,0.15154757228892557,0.0899999999999998,0.3599999999999994,1,-0.30117908480493705,NORMAL
40062,40062,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:15:00,6.91,0.1900000000000004,0.25,0.7600000000000016,6.7625,0.11814539065631348,0.1900000000000004,0.7600000000000016,1,-0.2988495520777811,NORMAL
40063,40063,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:30:00,6.86,-0.0499999999999998,0.25,-0.1999999999999993,6.78,0.12832251036613232,0.0499999999999998,0.1999999999999993,1,-0.29340539280659506,NORMAL
40064,40064,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:45:00,6.68,-0.1800000000000006,0.25,-0.7200000000000024,6.7925,0.10996211468804162,0.1800000000000006,0.7200000000000024,1,-0.29878910403979875,NORMAL
40065,40065,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 13:00:00,6.33,-0.3499999999999996,0.25,-1.3999999999999986,6.695,0.26261505415087416,0.3499999999999996,1.3999999999999986,1,-0.28708306958809526,NORMAL
40067,40067,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 13:30:00,6.7,0.3700000000000001,0.5,0.7400000000000002,6.6425,0.2233644256963647,0.3700000000000001,0.7400000000000002,1,-0.2931016532923207,NORMAL
40068,40068,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 13:45:00,6.56,-0.1400000000000005,0.25,-0.5600000000000023,6.5675,0.1699754884289706,0.1400000000000005,0.5600000000000023,1,-0.30523548830870584,NORMAL
40069,40069,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:00:00,6.58,0.0200000000000004,0.25,0.0800000000000018,6.5425,0.15456929406148961,0.0200000000000004,0.0800000000000018,1,-0.2939559858459058,NORMAL
40070,40070,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:15:00,6.64,0.0599999999999996,0.25,0.2399999999999984,6.62,0.06324555320337015,0.0599999999999996,0.2399999999999984,1,-0.2946922162774563,NORMAL
40071,40071,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 14:30:00,6.85,0.2099999999999999,0.25,0.8399999999999999,6.6575,0.13275918047351826,0.2099999999999999,0.8399999999999999,1,-0.30075430782369533,NORMAL
