_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly River Water Discharge (m3/sec),discharge_change_m3s,time_difference_hours,discharge_rate_m3s_per_hour,level_score,rate_score,risk_score,risk_category,anomaly_score,anomaly_label,predicted_discharge_1h,anomaly_severity,forecast_severity,hybrid_hazard_score,hybrid_risk_category,forecast_available
41806,41806,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 20:00:00,6.2,-0.1899999999999995,0.25,-0.759999999999998,10,10,10.0,LOW,-0.3037892691872544,NORMAL,,0.0,0,5.0,LOW,False
41807,41807,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 20:15:00,6.38,0.1799999999999997,0.25,0.7199999999999989,40,10,28.0,LOW,-0.3025150740541091,NORMAL,,0.0,0,14.0,LOW,False
41808,41808,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 20:30:00,6.47,0.0899999999999998,0.25,0.3599999999999994,40,10,28.0,LOW,-0.3019377372132416,NORMAL,,0.0,0,14.0,LOW,False
41809,41809,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 20:45:00,6.4,-0.0699999999999994,0.25,-0.2799999999999976,40,10,28.0,LOW,-0.300074547478344,NORMAL,,0.0,0,14.0,LOW,False
41810,41810,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 21:00:00,6.39,-0.0100000000000006,0.25,-0.0400000000000027,40,10,28.0,LOW,-0.2845721900162674,NORMAL,,0.0,0,14.0,LOW,False
41811,41811,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 21:15:00,6.3,-0.0899999999999998,0.25,-0.3599999999999994,40,10,28.0,LOW,-0.2993696910247701,NORMAL,,0.0,0,14.0,LOW,False
41812,41812,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 21:30:00,6.38,0.08,0.25,0.3200000000000003,40,10,28.0,LOW,-0.2952592979154851,NORMAL,,0.0,0,14.0,LOW,False
41813,41813,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 21:45:00,6.23,-0.1499999999999994,0.25,-0.5999999999999979,40,10,28.0,LOW,-0.3008620361208666,NORMAL,,0.0,0,14.0,LOW,False
41814,41814,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 22:00:00,6.24,0.0099999999999997,0.25,0.0399999999999991,40,10,28.0,LOW,-0.2864435421724362,NORMAL,,0.0,0,14.0,LOW,False
41815,41815,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 22:15:00,6.42,0.1799999999999997,0.25,0.7199999999999989,40,10,28.0,LOW,-0.3020143863114725,NORMAL,,0.0,0,14.0,LOW,False
41816,41816,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 22:30:00,6.47,0.0499999999999998,0.25,0.1999999999999993,40,10,28.0,LOW,-0.2968058613183578,NORMAL,,0.0,0,14.0,LOW,False
41817,41817,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 22:45:00,6.1,-0.3700000000000001,0.25,-1.4800000000000004,10,40,22.0,LOW,-0.2873884820992058,NORMAL,,0.0,0,11.0,LOW,False
41818,41818,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 23:00:00,6.23,0.1300000000000007,0.25,0.5200000000000031,40,10,28.0,LOW,-0.3048753543562507,NORMAL,,0.0,0,14.0,LOW,False
41819,41819,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 23:15:00,6.34,0.1099999999999994,0.25,0.4399999999999977,40,10,28.0,LOW,-0.304370108408545,NORMAL,,0.0,0,14.0,LOW,False
41820,41820,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 23:30:00,6.13,-0.2099999999999999,0.25,-0.8399999999999999,10,10,10.0,LOW,-0.301047441716945,NORMAL,,0.0,0,5.0,LOW,False
41821,41821,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-19 23:45:00,6.13,0.0,0.25,0.0,10,10,10.0,LOW,-0.2759744081767344,NORMAL,,0.0,0,5.0,LOW,False
41822,41822,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 00:00:00,6.41,0.2800000000000002,0.25,1.120000000000001,40,40,40.0,MODERATE,-0.2974735264949376,NORMAL,,0.0,0,20.0,LOW,False
41823,41823,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 00:15:00,6.34,-0.0700000000000002,0.25,-0.2800000000000011,40,10,28.0,LOW,-0.301281109000513,NORMAL,,0.0,0,14.0,LOW,False
41824,41824,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 00:30:00,6.12,-0.2199999999999997,0.25,-0.879999999999999,10,10,10.0,LOW,-0.3033266597161935,NORMAL,,0.0,0,5.0,LOW,False
41825,41825,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 00:45:00,6.13,0.0099999999999997,0.25,0.0399999999999991,10,10,10.0,LOW,-0.2899022281451816,NORMAL,,0.0,0,5.0,LOW,False
41826,41826,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 01:00:00,6.19,0.0600000000000005,0.25,0.240000000000002,10,10,10.0,LOW,-0.2969370719376653,NORMAL,,0.0,0,5.0,LOW,False
41827,41827,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 01:15:00,6.2,0.0099999999999997,0.25,0.0399999999999991,10,10,10.0,LOW,-0.2829782047886581,NORMAL,,0.0,0,5.0,LOW,False
41828,41828,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 01:30:00,6.05,-0.1500000000000003,0.25,-0.6000000000000014,10,10,10.0,LOW,-0.298224770251162,NORMAL,,0.0,0,5.0,LOW,False
41829,41829,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 01:45:00,6.35,0.2999999999999998,0.25,1.1999999999999993,40,40,40.0,MODERATE,-0.2933011057796027,NORMAL,,0.0,0,20.0,LOW,False
41830,41830,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 02:00:00,6.26,-0.0899999999999998,0.25,-0.3599999999999994,40,10,28.0,LOW,-0.3020683266073171,NORMAL,,0.0,0,14.0,LOW,False
41831,41831,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 02:15:00,6.5,0.2400000000000002,0.25,0.9600000000000009,40,10,28.0,LOW,-0.3009376355077863,NORMAL,,0.0,0,14.0,LOW,False
41832,41832,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 02:30:00,6.26,-0.2400000000000002,0.25,-0.9600000000000009,40,10,28.0,LOW,-0.2989658580431104,NORMAL,,0.0,0,14.0,LOW,False
41833,41833,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 02:45:00,6.42,0.1600000000000001,0.25,0.6400000000000006,40,10,28.0,LOW,-0.3045213822092354,NORMAL,,0.0,0,14.0,LOW,False
41834,41834,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 03:00:00,6.4,-0.0199999999999995,0.25,-0.0799999999999983,40,10,28.0,LOW,-0.2918335795404819,NORMAL,,0.0,0,14.0,LOW,False
41835,41835,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 03:15:00,6.18,-0.2200000000000006,0.25,-0.8800000000000026,10,10,10.0,LOW,-0.3012040159845367,NORMAL,,0.0,0,5.0,LOW,False
41836,41836,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 03:30:00,6.49,0.3100000000000005,0.25,1.240000000000002,40,40,40.0,MODERATE,-0.29434178199155,NORMAL,,0.0,0,20.0,LOW,False
41837,41837,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 03:45:00,6.11,-0.3799999999999999,0.25,-1.5199999999999996,10,40,22.0,LOW,-0.2877584601269912,NORMAL,,0.0,0,11.0,LOW,False
41838,41838,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 04:00:00,6.35,0.2399999999999993,0.25,0.9599999999999972,40,10,28.0,LOW,-0.3017904761686215,NORMAL,,0.0,0,14.0,LOW,False
41839,41839,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 04:15:00,6.17,-0.1799999999999997,0.25,-0.7199999999999989,10,10,10.0,LOW,-0.3048623122668329,NORMAL,,0.0,0,5.0,LOW,False
41840,41840,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 04:30:00,6.29,0.1200000000000001,0.25,0.4800000000000004,40,10,28.0,LOW,-0.3018079715558676,NORMAL,,0.0,0,14.0,LOW,False
41841,41841,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 04:45:00,6.17,-0.1200000000000001,0.25,-0.4800000000000004,10,10,10.0,LOW,-0.3014282188844463,NORMAL,,0.0,0,5.0,LOW,False
41842,41842,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 05:00:00,6.37,0.2000000000000001,0.25,0.8000000000000007,40,10,28.0,LOW,-0.301357593299129,NORMAL,,0.0,0,14.0,LOW,False
41843,41843,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 05:15:00,6.64,0.2699999999999996,0.25,1.0799999999999983,40,40,40.0,MODERATE,-0.2976297518651885,NORMAL,,0.0,0,20.0,LOW,False
41844,41844,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 05:30:00,6.15,-0.4899999999999993,0.25,-1.9599999999999973,10,40,22.0,LOW,-0.2694430978814735,NORMAL,,0.0,0,11.0,LOW,False
41845,41845,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 05:45:00,6.42,0.2699999999999996,0.25,1.0799999999999983,40,40,40.0,MODERATE,-0.2989393478919721,NORMAL,,0.0,0,20.0,LOW,False
41846,41846,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 06:00:00,6.21,-0.2099999999999999,0.25,-0.8399999999999999,10,10,10.0,LOW,-0.3030578301431945,NORMAL,,0.0,0,5.0,LOW,False
41847,41847,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 06:15:00,6.38,0.1699999999999999,0.25,0.6799999999999997,40,10,28.0,LOW,-0.3048152336032106,NORMAL,,0.0,0,14.0,LOW,False
41848,41848,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 06:30:00,5.98,-0.3999999999999994,0.25,-1.599999999999998,10,40,22.0,LOW,-0.2829315716457724,NORMAL,,0.0,0,11.0,LOW,False
41849,41849,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 06:45:00,6.09,0.1099999999999994,0.25,0.4399999999999977,10,10,10.0,LOW,-0.3025023064320699,NORMAL,,0.0,0,5.0,LOW,False
41850,41850,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 07:00:00,6.23,0.1400000000000005,0.25,0.5600000000000023,40,10,28.0,LOW,-0.3054471462832944,NORMAL,,0.0,0,14.0,LOW,False
41851,41851,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 07:15:00,6.42,0.1899999999999995,0.25,0.759999999999998,40,10,28.0,LOW,-0.3052080716993124,NORMAL,,0.0,0,14.0,LOW,False
41852,41852,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 07:30:00,6.31,-0.1100000000000003,0.25,-0.4400000000000013,40,10,28.0,LOW,-0.3044402359121482,NORMAL,,0.0,0,14.0,LOW,False
41853,41853,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 07:45:00,6.41,0.1000000000000005,0.25,0.4000000000000021,40,10,28.0,LOW,-0.3017979274510873,NORMAL,,0.0,0,14.0,LOW,False
41854,41854,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 08:00:00,6.19,-0.2199999999999997,0.25,-0.879999999999999,10,10,10.0,LOW,-0.3002841608538918,NORMAL,,0.0,0,5.0,LOW,False
41855,41855,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 08:15:00,6.58,0.3899999999999997,0.25,1.5599999999999987,40,40,40.0,MODERATE,-0.2872369315620222,NORMAL,,0.0,0,20.0,LOW,False
41856,41856,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 08:30:00,6.09,-0.4900000000000002,0.25,-1.9600000000000009,10,40,22.0,LOW,-0.2677386656765451,NORMAL,,0.0,0,11.0,LOW,False
41857,41857,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 08:45:00,6.17,0.08,0.25,0.3200000000000003,10,10,10.0,LOW,-0.2965950223864639,NORMAL,,0.0,0,5.0,LOW,False
41858,41858,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 09:00:00,6.26,0.0899999999999998,0.25,0.3599999999999994,40,10,28.0,LOW,-0.2990353815594848,NORMAL,,0.0,0,14.0,LOW,False
41859,41859,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 09:15:00,6.12,-0.1399999999999996,0.25,-0.5599999999999987,10,10,10.0,LOW,-0.3003443644064065,NORMAL,,0.0,0,5.0,LOW,False
41860,41860,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 09:30:00,6.12,0.0,0.25,0.0,10,10,10.0,LOW,-0.2739660601323678,NORMAL,,0.0,0,5.0,LOW,False
41861,41861,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 09:45:00,6.02,-0.1000000000000005,0.25,-0.4000000000000021,10,10,10.0,LOW,-0.2993165286979704,NORMAL,,0.0,0,5.0,LOW,False
41862,41862,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 10:00:00,6.17,0.1500000000000003,0.25,0.6000000000000014,10,10,10.0,LOW,-0.2996162580955511,NORMAL,,0.0,0,5.0,LOW,False
41863,41863,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 10:15:00,6.26,0.0899999999999998,0.25,0.3599999999999994,40,10,28.0,LOW,-0.3004760422082275,NORMAL,,0.0,0,14.0,LOW,False
41864,41864,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 10:30:00,6.23,-0.0299999999999993,0.25,-0.1199999999999974,40,10,28.0,LOW,-0.2913601637260301,NORMAL,,0.0,0,14.0,LOW,False
41865,41865,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 10:45:00,6.03,-0.2000000000000001,0.25,-0.8000000000000007,10,10,10.0,LOW,-0.299331605697055,NORMAL,,0.0,0,5.0,LOW,False
41866,41866,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 11:00:00,6.12,0.0899999999999998,0.25,0.3599999999999994,10,10,10.0,LOW,-0.3004532644603574,NORMAL,,0.0,0,5.0,LOW,False
41867,41867,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 11:15:00,5.94,-0.1799999999999997,0.25,-0.7199999999999989,10,10,10.0,LOW,-0.3017216607848063,NORMAL,,0.0,0,5.0,LOW,False
41869,41869,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 11:45:00,5.68,-0.2600000000000007,0.5,-0.5200000000000014,10,10,10.0,LOW,-0.2954795559425507,NORMAL,,0.0,0,5.0,LOW,False
41870,41870,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 12:00:00,6.02,0.3399999999999998,0.25,1.3599999999999994,10,40,22.0,LOW,-0.2888039867458805,NORMAL,,0.0,0,11.0,LOW,False
41871,41871,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 12:15:00,5.66,-0.3599999999999994,0.25,-1.4399999999999975,10,40,22.0,LOW,-0.2826591578267726,NORMAL,,0.0,0,11.0,LOW,False
41872,41872,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 12:30:00,5.24,-0.4199999999999999,0.25,-1.6799999999999995,10,40,22.0,LOW,-0.2665694802224007,NORMAL,,0.0,0,11.0,LOW,False
41873,41873,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 12:45:00,5.94,0.7000000000000002,0.25,2.8000000000000007,10,40,22.0,LOW,-0.2276711949575732,NORMAL,,0.0,0,11.0,LOW,False
41876,41876,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 13:30:00,5.28,-0.6600000000000001,0.75,-0.8800000000000002,10,10,10.0,LOW,-0.2543378776546033,NORMAL,,0.0,0,5.0,LOW,False
41877,41877,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 13:45:00,4.35,-0.9300000000000006,0.25,-3.7200000000000015,10,40,22.0,LOW,-0.158321344151992,NORMAL,,0.0,0,11.0,LOW,False
41879,41879,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 14:15:00,5.69,1.3400000000000007,0.5,2.680000000000001,10,40,22.0,LOW,-0.1749267195372084,NORMAL,,0.0,0,11.0,LOW,False
41880,41880,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 14:30:00,5.47,-0.2200000000000006,0.25,-0.8800000000000026,10,10,10.0,LOW,-0.2549119070947971,NORMAL,,0.0,0,5.0,LOW,False
41882,41882,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 15:00:00,5.64,0.1699999999999999,0.5,0.3399999999999998,10,10,10.0,LOW,-0.2526818566472837,NORMAL,,0.0,0,5.0,LOW,False
41885,41885,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 15:45:00,6.07,0.4300000000000006,0.75,0.5733333333333341,10,10,10.0,LOW,-0.2847064939288878,NORMAL,,0.0,0,5.0,LOW,False
41886,41886,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 16:00:00,5.47,-0.6000000000000005,0.25,-2.400000000000002,10,40,22.0,LOW,-0.2404331167640503,NORMAL,,0.0,0,11.0,LOW,False
41887,41887,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 16:15:00,5.37,-0.0999999999999996,0.25,-0.3999999999999986,10,10,10.0,LOW,-0.2823832626214642,NORMAL,,0.0,0,5.0,LOW,False
41888,41888,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 16:30:00,5.63,0.2599999999999998,0.25,1.0399999999999991,10,40,22.0,LOW,-0.2851288238168162,NORMAL,,0.0,0,11.0,LOW,False
41889,41889,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 16:45:00,5.9,0.2700000000000004,0.25,1.0800000000000018,10,40,22.0,LOW,-0.2909657706245403,NORMAL,,0.0,0,11.0,LOW,False
41890,41890,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 17:00:00,6.02,0.1199999999999992,0.25,0.4799999999999969,10,10,10.0,LOW,-0.290303339506151,NORMAL,,0.0,0,5.0,LOW,False
41891,41891,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 17:15:00,5.81,-0.2099999999999999,0.25,-0.8399999999999999,10,10,10.0,LOW,-0.3014421158252753,NORMAL,,0.0,0,5.0,LOW,False
41892,41892,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 17:45:00,6.17,0.3600000000000003,0.5,0.7200000000000006,10,10,10.0,LOW,-0.2932023198909945,NORMAL,,0.0,0,5.0,LOW,False
41893,41893,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 18:00:00,6.11,-0.0599999999999996,0.25,-0.2399999999999984,10,10,10.0,LOW,-0.2980101577053196,NORMAL,,0.0,0,5.0,LOW,False
41894,41894,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 18:15:00,6.13,0.0199999999999995,0.25,0.0799999999999983,10,10,10.0,LOW,-0.2923870383978464,NORMAL,,0.0,0,5.0,LOW,False
41895,41895,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 18:30:00,6.16,0.0300000000000002,0.25,0.120000000000001,10,10,10.0,LOW,-0.28569636788013,NORMAL,,0.0,0,5.0,LOW,False
41896,41896,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 18:45:00,6.22,0.0599999999999996,0.25,0.2399999999999984,10,10,10.0,LOW,-0.2925159245335842,NORMAL,,0.0,0,5.0,LOW,False
41897,41897,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 19:00:00,6.21,-0.0099999999999997,0.25,-0.0399999999999991,10,10,10.0,LOW,-0.2836750265089072,NORMAL,,0.0,0,5.0,LOW,False
41898,41898,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 19:15:00,6.43,0.2199999999999997,0.25,0.879999999999999,40,10,28.0,LOW,-0.301909134274766,NORMAL,,0.0,0,14.0,LOW,False
41899,41899,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 19:30:00,6.19,-0.2399999999999993,0.25,-0.9599999999999972,10,10,10.0,LOW,-0.298987689308969,NORMAL,,0.0,0,5.0,LOW,False
41900,41900,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 19:45:00,6.32,0.1299999999999999,0.25,0.5199999999999996,40,10,28.0,LOW,-0.3037971935622728,NORMAL,,0.0,0,14.0,LOW,False
41901,41901,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 20:00:00,6.48,0.1600000000000001,0.25,0.6400000000000006,40,10,28.0,LOW,-0.3051645567367575,NORMAL,,0.0,0,14.0,LOW,False
41902,41902,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 20:15:00,6.27,-0.2100000000000008,0.25,-0.8400000000000034,40,10,28.0,LOW,-0.3024980780524318,NORMAL,,0.0,0,14.0,LOW,False
41903,41903,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 20:30:00,6.52,0.25,0.25,1.0,40,40,40.0,MODERATE,-0.2982299581398313,NORMAL,,0.0,0,20.0,LOW,False
41904,41904,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-20 20:45:00,6.51,-0.0099999999999997,0.25,-0.0399999999999991,40,10,28.0,LOW,-0.2895111055422722,NORMAL,,0.0,0,14.0,LOW,False
