_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly River Water Discharge (m3/sec),discharge_change_m3s,time_difference_hours,discharge_rate_m3s_per_hour,level_score,rate_score,risk_score,risk_category,anomaly_score,anomaly_label,predicted_discharge_1h,anomaly_severity,forecast_severity,hybrid_hazard_score,hybrid_risk_category,forecast_available
40034,40034,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:00:00,6.7,0.0200000000000004,0.25,0.0800000000000018,40,10,28.0,LOW,-0.289800622434661,NORMAL,,0.0,0,14.0,LOW,False
40035,40035,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:15:00,6.9,0.2000000000000001,0.25,0.8000000000000007,40,10,28.0,LOW,-0.2998984261804386,NORMAL,,0.0,0,14.0,LOW,False
40036,40036,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:30:00,6.76,-0.1400000000000005,0.25,-0.5600000000000023,40,10,28.0,LOW,-0.2988561381913499,NORMAL,,0.0,0,14.0,LOW,False
40037,40037,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 05:45:00,6.53,-0.2299999999999995,0.25,-0.9199999999999982,40,10,28.0,LOW,-0.300507785369716,NORMAL,,0.0,0,14.0,LOW,False
40038,40038,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:15:00,6.44,-0.0899999999999998,0.5,-0.1799999999999997,40,10,28.0,LOW,-0.2959303222718004,NORMAL,,0.0,0,14.0,LOW,False
40039,40039,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:30:00,6.77,0.3299999999999992,0.25,1.3199999999999967,40,40,40.0,MODERATE,-0.2918533693848189,NORMAL,,0.0,0,20.0,LOW,False
40040,40040,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 06:45:00,6.46,-0.3099999999999996,0.25,-1.2399999999999984,40,40,40.0,MODERATE,-0.2944938835291754,NORMAL,,0.0,0,20.0,LOW,False
40041,40041,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:00:00,6.88,0.4199999999999999,0.25,1.6799999999999995,40,40,40.0,MODERATE,-0.2804266997502981,NORMAL,,0.0,0,20.0,LOW,False
40042,40042,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:15:00,6.82,-0.0599999999999996,0.25,-0.2399999999999984,40,10,28.0,LOW,-0.2959164622400045,NORMAL,,0.0,0,14.0,LOW,False
40043,40043,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 07:30:00,6.97,0.1499999999999994,0.25,0.5999999999999979,40,10,28.0,LOW,-0.2980590632978025,NORMAL,,0.0,0,14.0,LOW,False
