_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly River Water Discharge (m3/sec),discharge_change_m3s,time_difference_hours,discharge_rate_m3s_per_hour,level_score,rate_score,risk_score,risk_category
40014,40014,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 00:00:00,7.19,,,,40,10,28.0,LOW
40015,40015,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 00:15:00,6.9,-0.29,0.25,-1.16,40,40,40.0,MODERATE
40016,40016,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 00:30:00,6.66,-0.2400000000000002,0.25,-0.9600000000000009,40,10,28.0,LOW
40017,40017,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 00:45:00,6.7,0.04,0.25,0.1600000000000001,40,10,28.0,LOW
40018,40018,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 01:00:00,6.74,0.04,0.25,0.1600000000000001,40,10,28.0,LOW
40019,40019,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 01:15:00,6.85,0.1099999999999994,0.25,0.4399999999999977,40,10,28.0,LOW
40020,40020,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 01:30:00,6.45,-0.3999999999999994,0.25,-1.599999999999998,40,40,40.0,MODERATE
40021,40021,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 01:45:00,6.4,-0.0499999999999998,0.25,-0.1999999999999993,40,10,28.0,LOW
40022,40022,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 02:00:00,6.52,0.1199999999999992,0.25,0.4799999999999969,40,10,28.0,LOW
40023,40023,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 02:15:00,6.47,-0.0499999999999998,0.25,-0.1999999999999993,40,10,28.0,LOW
