settlement_id,settlement_name,population,relocation_demand,source_settlement_id,people_allocated,destination_sites,average_distance_km,average_relocation_score,people_unallocated,allocation_rate_pct,relocation_status
SETTLEMENT_40872,Chamtoli,144,144,,0,0,,,144,0.0,NOT_ALLOCATED
SETTLEMENT_40848,Noligwar,132,132,,0,0,,,132,0.0,NOT_ALLOCATED
SETTLEMENT_40853,Longsagari,118,118,,0,0,,,118,0.0,NOT_ALLOCATED
SETTLEMENT_40869,Raigari,114,114,,0,0,,,114,0.0,NOT_ALLOCATED
SETTLEMENT_40871,Bilagar,114,114,,0,0,,,114,0.0,NOT_ALLOCATED
SETTLEMENT_40900,Kaga Laga Dronagiri,114,114,,0,0,,,114,0.0,NOT_ALLOCATED
SETTLEMENT_40847,Darmi,112,112,,0,0,,,112,0.0,NOT_ALLOCATED
SETTLEMENT_40839,Tapon,108,108,,0,0,,,108,0.0,NOT_ALLOCATED
SETTLEMENT_40902,Dronagiri,108,108,,0,0,,,108,0.0,NOT_ALLOCATED
SETTLEMENT_40809,Khiron,106,106,,0,0,,,106,0.0,NOT_ALLOCATED
SETTLEMENT_40898,Jumma,92,92,,0,0,,,92,0.0,NOT_ALLOCATED
SETTLEMENT_40901,Garpak,78,78,,0,0,,,78,0.0,NOT_ALLOCATED
SETTLEMENT_40812,Bhyudar,72,72,,0,0,,,72,0.0,NOT_ALLOCATED
SETTLEMENT_40878,Juwagwar,70,70,,0,0,,,70,0.0,NOT_ALLOCATED
SETTLEMENT_40855,Pagrasu,66,66,,0,0,,,66,0.0,NOT_ALLOCATED
SETTLEMENT_40874,Gahar,59,59,,0,0,,,59,0.0,NOT_ALLOCATED
SETTLEMENT_40889,Niti,55,55,,0,0,,,55,0.0,NOT_ALLOCATED
SETTLEMENT_40831,Uchougaur,54,54,,0,0,,,54,0.0,NOT_ALLOCATED
SETTLEMENT_40815,Toli Laga Chiae,53,53,,0,0,,,53,0.0,NOT_ALLOCATED
SETTLEMENT_40837,Tirosi,51,51,,0,0,,,51,0.0,NOT_ALLOCATED
SETTLEMENT_40879,Jugaju chak lata,42,42,,0,0,,,42,0.0,NOT_ALLOCATED
SETTLEMENT_40858,Kuraipani,33,33,,0,0,,,33,0.0,NOT_ALLOCATED
SETTLEMENT_40883,Morana Chak Subhai,27,27,,0,0,,,27,0.0,NOT_ALLOCATED
SETTLEMENT_40859,Aira,25,25,,0,0,,,25,0.0,NOT_ALLOCATED
SETTLEMENT_40825,Gaunkh Laga Sailang,18,18,,0,0,,,18,0.0,NOT_ALLOCATED
SETTLEMENT_40861,Khancha talla,15,15,,0,0,,,15,0.0,NOT_ALLOCATED
SETTLEMENT_40862,Khancha malla,14,14,,0,0,,,14,0.0,NOT_ALLOCATED
SETTLEMENT_40827,Auli Laga Salud Dugra,2,2,,0,0,,,2,0.0,NOT_ALLOCATED
SETTLEMENT_40903,F-1,2,2,,0,0,,,2,0.0,NOT_ALLOCATED
