settlement_id,settlement_name,STATE,DISTRICT,SUBDISTT,TOWN/VILLAGE,WARD,LEVEL,settlement_type,NO_HH,households,TOT_P,TOT_M,TOT_F,population_2011,population,population_growth,population_growth_pct,POPULATION_YEAR,SOURCE,NAME_CLEAN,latitude,longitude,coordinate_source,coordinate_confidence,matched_address,geocoding_query
SETTLEMENT_40818,Bharkichak-Urgam,5,57,284,40818,0,VILLAGE,Rural,26,26,133,72,61,133,157,24,18.045112781954884,2011,Census of India - Population Census 2011,BHARKICHAK-URGAM,,,MISSING,MISSING,,
SETTLEMENT_40819,Bheta Chak Urgam,5,57,284,40819,0,VILLAGE,Rural,67,67,346,183,163,346,408,62,17.91907514450867,2011,Census of India - Population Census 2011,BHETA CHAK URGAM,,,MISSING,MISSING,,
SETTLEMENT_40820,Lyari Thana,5,57,284,40820,0,VILLAGE,Rural,55,55,237,130,107,237,279,42,17.72151898734177,2011,Census of India - Population Census 2011,LYARI THANA,,,MISSING,MISSING,,
SETTLEMENT_40821,Salna Chak Urgam,5,57,284,40821,0,VILLAGE,Rural,31,31,128,69,59,128,151,23,17.96875,2011,Census of India - Population Census 2011,SALNA CHAK URGAM,,,MISSING,MISSING,,
SETTLEMENT_40822,Hailang,5,57,284,40822,0,VILLAGE,Rural,121,121,528,307,221,528,622,94,17.803030303030305,2011,Census of India - Population Census 2011,HAILANG,,,MISSING,MISSING,,
SETTLEMENT_40823,Paini,5,57,284,40823,0,VILLAGE,Rural,153,153,664,369,295,664,782,118,17.771084337349397,2011,Census of India - Population Census 2011,PAINI,30.3051559,79.2328399,OpenStreetMap Nominatim,MEDIUM,"Paini Palli, Pokhari, Chamoli, Uttarakhand, 246446, India","Paini, Chamoli, Uttarakhand, India"
SETTLEMENT_40824,Sailang,5,57,284,40824,0,VILLAGE,Rural,150,150,761,416,345,761,897,136,17.871222076215506,2011,Census of India - Population Census 2011,SAILANG,,,MISSING,MISSING,,
SETTLEMENT_40825,Gaunkh Laga Sailang,5,57,284,40825,0,VILLAGE,Rural,8,8,15,10,5,15,18,3,20.0,2011,Census of India - Population Census 2011,GAUNKH LAGA SAILANG,,,MISSING,MISSING,,
SETTLEMENT_40826,Auli Laga Joshimath,5,57,284,40826,0,VILLAGE,Rural,36,36,299,254,45,299,352,53,17.725752508361204,2011,Census of India - Population Census 2011,AULI LAGA JOSHIMATH,,,MISSING,MISSING,,
SETTLEMENT_40827,Auli Laga Salud Dugra,5,57,284,40827,0,VILLAGE,Rural,1,1,2,2,0,2,2,0,0.0,2011,Census of India - Population Census 2011,AULI LAGA SALUD DUGRA,,,MISSING,MISSING,,
SETTLEMENT_40828,Salud Dugra,5,57,284,40828,0,VILLAGE,Rural,386,386,1583,801,782,1583,1865,282,17.814276689829438,2011,Census of India - Population Census 2011,SALUD DUGRA,,,MISSING,MISSING,,
SETTLEMENT_40829,Dumak,5,57,284,40829,0,VILLAGE,Rural,68,68,311,151,160,311,366,55,17.684887459807076,2011,Census of India - Population Census 2011,DUMAK,30.5072396,79.3831468,OpenStreetMap Nominatim,MEDIUM,"Dumak, Joshimath Tehsil, Chamoli, Uttarakhand, India","Dumak, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40830,Kalgoth,5,57,284,40830,0,VILLAGE,Rural,70,70,355,176,179,355,418,63,17.74647887323944,2011,Census of India - Population Census 2011,KALGOTH,30.516532,79.415042,OpenStreetMap Nominatim,MEDIUM,"Kalgoth, Joshimath Tehsil, Chamoli, Uttarakhand, India","Kalgoth, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40831,Uchougaur,5,57,284,40831,0,VILLAGE,Rural,11,11,46,24,22,46,54,8,17.391304347826086,2011,Census of India - Population Census 2011,UCHOUGAUR,,,MISSING,MISSING,,
SETTLEMENT_40832,Palla,5,57,284,40832,0,VILLAGE,Rural,72,72,369,180,189,369,435,66,17.88617886178862,2011,Census of India - Population Census 2011,PALLA,30.5122953,79.4720821,OpenStreetMap Nominatim,MEDIUM,"Palla, Kimana, Joshimath Tehsil, Chamoli, Uttarakhand, India","Palla, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40833,Jakhola,5,57,284,40833,0,VILLAGE,Rural,40,40,201,96,105,201,237,36,17.91044776119403,2011,Census of India - Population Census 2011,JAKHOLA,29.442438,79.9053669,OpenStreetMap Nominatim,MEDIUM,"Jakhola, Dungra, Pati, Champawat, Uttarakhand, 262580, India","Jakhola, Uttarakhand, India"
SETTLEMENT_40834,Kimana,5,57,284,40834,0,VILLAGE,Rural,100,100,450,227,223,450,530,80,17.77777777777778,2011,Census of India - Population Census 2011,KIMANA,30.4978872,79.4523689,OpenStreetMap Nominatim,MEDIUM,"Kimana, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Kimana, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40835,Pokhani Urf Pokhari,5,57,284,40835,0,VILLAGE,Rural,54,54,245,117,128,245,289,44,17.959183673469386,2011,Census of India - Population Census 2011,POKHANI URF POKHARI,,,MISSING,MISSING,,
SETTLEMENT_40836,Lanji,5,57,284,40836,0,VILLAGE,Rural,27,27,171,85,86,171,201,30,17.543859649122805,2011,Census of India - Population Census 2011,LANJI,30.480797,79.4483104,OpenStreetMap Nominatim,MEDIUM,"Lanji, Garurganga, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Lanji, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40837,Tirosi,5,57,284,40837,0,VILLAGE,Rural,8,8,43,21,22,43,51,8,18.6046511627907,2011,Census of India - Population Census 2011,TIROSI,30.4767634,79.4639175,OpenStreetMap Nominatim,MEDIUM,"SubCentre, Tirosi, NH7, Tangi Talli, Langsi, Chamoli, Uttarakhand, 246472, India","Tirosi, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40838,Dwing,5,57,284,40838,0,VILLAGE,Rural,30,30,127,62,65,127,150,23,18.11023622047244,2011,Census of India - Population Census 2011,DWING,30.4886522,79.4620501,OpenStreetMap Nominatim,MEDIUM,"Dwing, Kimana, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Dwing, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40839,Tapon,5,57,284,40839,0,VILLAGE,Rural,24,24,92,51,41,92,108,16,17.391304347826086,2011,Census of India - Population Census 2011,TAPON,,,MISSING,MISSING,,
SETTLEMENT_40840,Gulabkoti,5,57,284,40840,0,VILLAGE,Rural,81,81,356,179,177,356,419,63,17.696629213483146,2011,Census of India - Population Census 2011,GULABKOTI,30.5046348,79.4916067,OpenStreetMap Nominatim,MEDIUM,"Gulabkoti, Pagnau, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Gulabkoti, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40841,Langsi,5,57,284,40841,0,VILLAGE,Rural,102,102,395,218,177,395,465,70,17.72151898734177,2011,Census of India - Population Census 2011,LANGSI,30.4933697,79.4792409,OpenStreetMap Nominatim,MEDIUM,"Langsi, Joshimath Tehsil, Chamoli, Uttarakhand, 246472, India","Langsi, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40842,Tangni talli,5,57,284,40842,0,VILLAGE,Rural,59,59,232,120,112,232,273,41,17.67241379310345,2011,Census of India - Population Census 2011,TANGNI TALLI,,,MISSING,MISSING,,
