settlement_id,settlement_name,STATE,DISTRICT,SUBDISTT,TOWN/VILLAGE,WARD,LEVEL,settlement_type,NO_HH,households,TOT_P,TOT_M,TOT_F,population_2011,population,population_growth,population_growth_pct,POPULATION_YEAR,SOURCE,NAME_CLEAN
SETTLEMENT_40841,Langsi,5,57,284,40841,0,VILLAGE,Rural,102,102,395,218,177,395,465,70,17.72151898734177,2011,Census of India - Population Census 2011,LANGSI
SETTLEMENT_40842,Tangni talli,5,57,284,40842,0,VILLAGE,Rural,59,59,232,120,112,232,273,41,17.67241379310345,2011,Census of India - Population Census 2011,TANGNI TALLI
SETTLEMENT_40843,Tangni malli,5,57,284,40843,0,VILLAGE,Rural,73,73,304,151,153,304,358,54,17.763157894736842,2011,Census of India - Population Census 2011,TANGNI MALLI
SETTLEMENT_40844,Jalgwar,5,57,284,40844,0,VILLAGE,Rural,77,77,360,185,175,360,424,64,17.77777777777778,2011,Census of India - Population Census 2011,JALGWAR
SETTLEMENT_40845,Pakhi,5,57,284,40845,0,VILLAGE,Rural,96,96,365,184,181,365,430,65,17.80821917808219,2011,Census of India - Population Census 2011,PAKHI
SETTLEMENT_40846,Marwadi Chak Pakhi,5,57,284,40846,0,VILLAGE,Rural,31,31,157,109,48,157,185,28,17.8343949044586,2011,Census of India - Population Census 2011,MARWADI CHAK PAKHI
SETTLEMENT_40847,Darmi,5,57,284,40847,0,VILLAGE,Rural,19,19,95,51,44,95,112,17,17.894736842105264,2011,Census of India - Population Census 2011,DARMI
SETTLEMENT_40848,Noligwar,5,57,284,40848,0,VILLAGE,Rural,25,25,112,54,58,112,132,20,17.857142857142858,2011,Census of India - Population Census 2011,NOLIGWAR
SETTLEMENT_40849,Pagnau,5,57,284,40849,0,VILLAGE,Rural,94,94,390,188,202,390,460,70,17.94871794871795,2011,Census of India - Population Census 2011,PAGNAU
SETTLEMENT_40850,Molta,5,57,284,40850,0,VILLAGE,Rural,92,92,442,222,220,442,521,79,17.873303167420815,2011,Census of India - Population Census 2011,MOLTA
SETTLEMENT_40851,Ganai,5,57,284,40851,0,VILLAGE,Rural,107,107,450,240,210,450,530,80,17.77777777777778,2011,Census of India - Population Census 2011,GANAI
SETTLEMENT_40852,Bhalgaon,5,57,284,40852,0,VILLAGE,Rural,42,42,167,76,91,167,197,30,17.964071856287426,2011,Census of India - Population Census 2011,BHALGAON
SETTLEMENT_40853,Longsagari,5,57,284,40853,0,VILLAGE,Rural,27,27,100,56,44,100,118,18,18.0,2011,Census of India - Population Census 2011,LONGSAGARI
