source_settlement_id,source_settlement,source_district,source_population,relocation_demand,site_id,site_name,site_village,site_district,allocated_people,site_capacity_before,site_capacity_after,safe_site_score,accessibility_score,infrastructure_score,distance_km,distance_score,relocation_score,allocation_status,unallocated_reason
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,1269696,Educational Facility,Pakhi,CHAMOLI,50,50.0,0.0,63.74,100.0,80.0,14.734,35.11,53.62,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,3604656,Educational Facility,Palla,CHAMOLI,25,25.0,0.0,63.37,100.0,60.0,10.087,66.09,52.96,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,5553910,Educational Facility,Palla,CHAMOLI,25,25.0,0.0,63.37,100.0,60.0,10.087,66.09,52.96,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,1025755,Educational Facility,Raini Chak Lata,CHAMOLI,25,25.0,0.0,64.87,100.0,80.0,14.478,36.81,52.63,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,4767357,Educational Facility,Tangni Talli,CHAMOLI,37,37.0,0.0,64.43,100.0,60.0,12.961,46.93,52.24,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,9922661,Educational Facility,Gulabkoti,CHAMOLI,25,25.0,0.0,59.37,100.0,60.0,8.988,73.42,52.09,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,8765150,Educational Facility,Fagti,CHAMOLI,25,25.0,0.0,67.12,100.0,100.0,20.167,0.0,51.85,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,9911458,Educational Facility,Jalam,CHAMOLI,25,25.0,0.0,65.04,100.0,93.33,26.569,0.0,50.35,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,3038593,Educational Facility,Bampa,CHAMOLI,25,25.0,0.0,64.87,100.0,80.0,32.884,0.0,48.95,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,1812555,Educational Facility,Niti,CHAMOLI,25,25.0,0.0,64.87,100.0,80.0,36.2,0.0,48.95,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,7947029,Educational Facility,Jalam,CHAMOLI,25,25.0,0.0,59.62,100.0,80.0,26.569,0.0,46.85,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,3712866,Educational Facility,Mana,CHAMOLI,25,25.0,0.0,59.62,100.0,80.0,48.131,0.0,46.85,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,4283719,Educational Facility,Urgam,CHAMOLI,125,125.0,0.0,53.86,40.0,60.0,10.509,63.27,46.33,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,6156417,Educational Facility,Sailang,CHAMOLI,25,25.0,0.0,49.12,40.0,100.0,3.922,100.0,45.65,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,3478590,Educational Facility,Hailang,CHAMOLI,50,50.0,0.0,49.74,40.0,80.0,7.035,86.43,44.15,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,6238303,Educational Facility,Urgam,CHAMOLI,87,87.0,0.0,49.32,40.0,80.0,10.509,63.27,44.06,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,2771212,Educational Facility,Ringi,CHAMOLI,37,37.0,0.0,50.18,40.0,100.0,9.998,66.68,43.52,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,7358147,Educational Facility,Bheta Chak Urgam,CHAMOLI,25,25.0,0.0,49.12,40.0,100.0,9.253,71.64,42.81,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,6429263,Educational Facility,Payya Chormi,CHAMOLI,25,25.0,0.0,47.62,40.0,80.0,5.925,93.83,42.43,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,3470600,Educational Facility,Molta,CHAMOLI,37,37.0,0.0,48.68,40.0,80.0,9.047,73.02,41.55,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,3852723,Educational Facility,Topovan,CHAMOLI,62,62.0,0.0,50.05,40.0,80.0,12.348,51.01,41.51,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,1198343,Educational Facility,Salna Chak Urgam,CHAMOLI,25,25.0,0.0,47.62,40.0,80.0,7.456,83.63,41.41,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,8480335,Educational Facility,Bheta Chak Urgam,CHAMOLI,25,25.0,0.0,47.04,40.0,93.33,9.253,71.64,41.31,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,8496292,Educational Facility,Pagnau,CHAMOLI,37,37.0,0.0,48.68,40.0,80.0,9.408,70.61,41.31,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,5050781,Educational Facility,Thaing,CHAMOLI,25,25.0,0.0,45.54,40.0,73.33,5.461,96.92,41.24,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,1163274,Educational Facility,Pagnau,CHAMOLI,25,25.0,0.0,47.04,40.0,93.33,9.408,70.61,41.21,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,8435333,Educational Facility,Bhangyul,CHAMOLI,37,37.0,0.0,45.68,40.0,80.0,9.21,71.93,40.24,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,8221044,Educational Facility,Kalgoth,CHAMOLI,75,75.0,0.0,49.78,40.0,73.33,14.985,33.43,39.82,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,9152790,Educational Facility,Darmi,CHAMOLI,25,25.0,0.0,47.04,40.0,93.33,12.539,49.74,39.12,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,2096227,Educational Facility,Molta,CHAMOLI,25,25.0,0.0,45.54,40.0,73.33,9.047,73.02,38.85,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,7997760,Educational Facility,Pokhani Urf Pokhari,CHAMOLI,25,25.0,0.0,49.12,40.0,100.0,15.375,30.83,38.73,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,5998765,Educational Facility,Jakhola,CHAMOLI,37,37.0,0.0,41.82,40.0,80.0,11.357,57.62,37.26,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,4857405,Educational Facility,Ringi,CHAMOLI,25,25.0,0.0,45.37,40.0,60.0,9.998,66.68,36.82,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,4213259,Educational Facility,Pakhi,CHAMOLI,25,25.0,0.0,47.62,40.0,80.0,14.734,35.11,36.56,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,9285948,Educational Facility,Bhalgaon,CHAMOLI,37,37.0,0.0,48.68,40.0,80.0,16.569,22.88,36.53,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,9477191,Educational Facility,Noligwar,CHAMOLI,25,25.0,0.0,45.37,40.0,60.0,10.769,61.54,36.3,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,6937665,Educational Facility,Kalgoth,CHAMOLI,25,25.0,0.0,46.87,40.0,80.0,14.985,33.43,36.09,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,3818141,Educational Facility,Malari,CHAMOLI,25,25.0,0.0,49.12,40.0,100.0,34.219,0.0,35.65,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,5948233,Educational Facility,Ganai,CHAMOLI,50,50.0,0.0,38.74,40.0,53.33,10.934,60.44,34.49,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,7016854,Educational Facility,Dumak,CHAMOLI,25,25.0,0.0,43.62,40.0,80.0,18.209,11.94,32.64,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,2183882,Educational Facility,Lanji,CHAMOLI,25,25.0,0.0,36.97,40.0,73.33,13.893,40.71,32.19,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,6166946,Educational Facility,Kimana,CHAMOLI,37,37.0,0.0,36.18,20.0,60.0,12.519,49.88,29.23,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,9950226,Educational Facility,Mana,CHAMOLI,25,25.0,0.0,43.29,40.0,53.33,48.131,0.0,28.65,ALLOCATED,
SETTLEMENT_800291,Joshimath  (NPP),57,19689,19689,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_800290,Badrinathpuri (NP),57,2873,2873,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40892,Malari,57,2278,2278,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40828,Salud Dugra,57,1865,1865,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40817,Urgam,57,1825,1825,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40813,Pandukaswar,57,1645,1645,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
