source_settlement_id,source_settlement,source_population_2026_est,destination_site_id,destination_site,destination_village,allocated_people,ai_score,ai_rank,distance_km,site_safe_score,site_accessibility,site_infrastructure,site_capacity_original,site_capacity_remaining_after,destination_latitude,destination_longitude,allocation_status,allocation_reason
SETTLEMENT_40824,Sailang,897,3716848,Educational Facility,Gulabkoti,25,54.506,28.0,5.216,64.87,100.0,85.0,25,0,30.5046348,79.4916067,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,3045824,Educational Facility,Pandukaswar,37,54.104,29.0,10.648,63.85,100.0,80.0,37,0,30.633418,79.548607,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,1594739,Educational Facility,Raini Chak Lata,50,53.9,30.0,16.924,63.74,100.0,90.0,50,0,30.488322,79.694825,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,5443985,Educational Facility,Paini,25,53.631,31.0,1.41,61.62,100.0,90.0,25,0,30.528091,79.521383,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,3604656,Educational Facility,Palla,25,53.459,32.0,6.167,63.37,100.0,75.0,25,0,30.5122953,79.4720821,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,5553910,Educational Facility,Palla,25,53.459,33.0,6.167,63.37,100.0,75.0,25,0,30.5122953,79.4720821,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,8873227,Educational Facility,Tugasi,25,53.179,34.0,9.211,63.54,100.0,85.0,25,0,30.4822562,79.5981038,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,9922661,Educational Facility,Gulabkoti,25,52.536,35.0,5.216,59.37,100.0,75.0,25,0,30.5046348,79.4916067,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40824,Sailang,897,1957630,Educational Facility,Pandukaswar,21,52.487,36.0,10.648,62.79,100.0,80.0,25,4,30.633418,79.548607,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,8765150,Educational Facility,Fagti,25,52.101,35.0,30.599,67.12,100.0,100.0,25,0,30.55631,79.775609,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,1957630,Educational Facility,Pandukaswar,4,50.651,37.0,13.609,62.79,100.0,80.0,25,0,30.633418,79.548607,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,9911458,Educational Facility,Jalam,25,50.604,38.0,36.929,65.04,100.0,95.0,25,0,30.638213,79.825207,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,9829271,Educational Facility,Pandukaswar,25,50.245,39.0,13.609,59.62,100.0,90.0,25,0,30.633418,79.548607,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,3038593,Educational Facility,Bampa,25,49.619,40.0,42.266,64.87,100.0,85.0,25,0,30.7436664,79.8297153,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,6238303,Educational Facility,Urgam,87,49.591,41.0,0.0,49.32,40.0,90.0,87,0,30.5400882,79.4566318,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,1812555,Educational Facility,Niti,25,49.545,42.0,45.282,64.87,100.0,85.0,25,0,30.7776642,79.8411215,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,1025755,Educational Facility,Raini Chak Lata,25,49.411,43.0,23.533,64.87,100.0,85.0,25,0,30.488322,79.694825,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,8221044,Educational Facility,Kalgoth,75,49.01,44.0,4.768,49.78,40.0,85.0,75,0,30.516532,79.415042,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,7947029,Educational Facility,Jalam,25,48.073,45.0,36.929,59.62,100.0,90.0,25,0,30.638213,79.825207,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,3712866,Educational Facility,Mana,25,48.03,46.0,47.684,59.62,100.0,90.0,25,0,30.9671228,79.4109692,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,3852723,Educational Facility,Topovan,62,47.922,47.0,6.043,50.05,40.0,85.0,62,0,30.4861,79.4639,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,3478590,Educational Facility,Hailang,50,44.12,48.0,4.493,49.74,40.0,90.0,50,0,30.525162,79.500225,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,2771212,Educational Facility,Ringi,37,40.802,49.0,17.013,50.18,40.0,100.0,37,0,30.4780383,79.618965,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,8496292,Educational Facility,Pagnau,37,40.467,50.0,6.332,48.68,40.0,90.0,37,0,30.4945351,79.4962988,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,3470600,Educational Facility,Molta,37,40.208,51.0,8.825,48.68,40.0,90.0,37,0,30.4831116,79.5207657,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,7997760,Educational Facility,Pokhani Urf Pokhari,25,39.494,52.0,7.469,49.12,40.0,100.0,25,0,30.476002,79.433276,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,7358147,Educational Facility,Bheta Chak Urgam,25,39.477,53.0,1.265,49.12,40.0,100.0,25,0,30.540621,79.469825,ALLOCATED,AI-ranked geographically verified safe site with available capacity
SETTLEMENT_40817,Urgam,1825,6156417,Educational Facility,Sailang,25,39.314,54.0,6.869,49.12,40.0,100.0,25,0,30.539261,79.528345,ALLOCATED,AI-ranked geographically verified safe site with available capacity
