site_id,site_name,site_cluster,village_name,urban_local_body_name,ward_name,block_name,district_name,matched_settlement_id,matched_address,latitude,longitude,coordinate_confidence,coordinate_match_method,school_category_code,school_type_code,total_classrooms,good_classrooms,minor_repair_classrooms,major_repair_classrooms,normal_classroom_capacity,temporary_capacity,available_capacity,building_score,road_score,water_score,electricity_score,land_score,boundary_wall_score,safety_score,accessibility_score,capacity_score,infrastructure_score,facility_suitability_score,safe_site_score,nearest_settlement_id,nearest_settlement_name,nearest_settlement_distance_km,site_status
9122080,Educational Facility,Raigari,Raigari,,,Joshimath,CHAMOLI,SETTLEMENT_40869,Raigari,30.477774,79.612045,MEDIUM,VILLAGE_NAME,7,3,6,6,0,0,150,75.0,75,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,18.182,90.0,79.545,69.86,SETTLEMENT_40869,Raigari,0.0,MEDIUM_SUITABILITY
9987436,Educational Facility,Bhikauna,Bhikauna,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,100.0,0.0,100.0,40.0,6.061,90.0,61.515,47.62,,,,LOW_SUITABILITY
8980249,Educational Facility,Salaraitoli,Salaraitoli,,,Dasholi,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,4,3,3,3,0,0,75,37.5,38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9.091,100.0,77.273,68.18,,,,MEDIUM_SUITABILITY
8150328,Educational Facility,Bairagana,Bairagana,,,Dasholi,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,9,5,3,1,125,62.5,62,55.556,100.0,100.0,100.0,100.0,0.0,100.0,100.0,15.152,90.0,65.455,63.47,,,,MEDIUM_SUITABILITY
5296571,Educational Facility,Joshimath-Municipality,,Joshimath-Municipality,Joshimath (MB) - Gaandhinagar Ward No.1,,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,3,3,18,18,0,0,450,225.0,225,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.545,100.0,88.636,84.09,,,,HIGH_SUITABILITY
9624332,Educational Facility,Nagbugar Urf Farkhet,Nagbugar Urf Farkhet,,,Ghat,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,7,3,9,8,1,0,200,100.0,100,88.889,0.0,100.0,100.0,0.0,100.0,100.0,40.0,24.242,85.0,62.727,51.9,,,,MEDIUM_SUITABILITY
3750340,Educational Facility,Joshimath-Municipality,,Joshimath-Municipality,Joshimath (MB) - Uper Bazaar-Daando Ward No.6,,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,7,7,0,0,175,87.5,88,100.0,100.0,100.0,100.0,100.0,100.0,66.667,100.0,21.212,95.0,76.97,70.34,,,,HIGH_SUITABILITY
6570989,Educational Facility,Tharali-Town Panchayat,,Tharali-Town Panchayat,Tharali (NP) - Uper Bazaar Tharali Ward No. 3,,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,5,5,0,0,125,62.5,62,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15.152,100.0,78.788,70.3,,,,HIGH_SUITABILITY
5597551,Educational Facility,Kanda Maikhura,Kanda Maikhura,,,Karnaprayag,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,11,6,5,0,150,75.0,75,54.545,0.0,100.0,100.0,100.0,0.0,100.0,40.0,18.182,90.0,50.909,46.41,,,,LOW_SUITABILITY
9508807,Educational Facility,Chamoli Gopeshwar-Municipality,,Chamoli Gopeshwar-Municipality,Chamoli Gopeshwar (MB) -Sagar Gangol Gaon Ward No.1,,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,6.061,90.0,76.515,65.62,,,,MEDIUM_SUITABILITY
