Data Acquisition Time,_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Telemetry Hourly Rainfall (mm),rainfall_mm_1h,rainfall_mm_6h,rainfall_mm_24h,antecedent_rainfall_mm_15d,predicted_rainfall_6h,rainfall_mm_6h_q75,rainfall_mm_6h_q90,rainfall_mm_6h_q95,rainfall_mm_24h_q75,rainfall_mm_24h_q90,rainfall_mm_24h_q95,antecedent_rainfall_mm_15d_q75,antecedent_rainfall_mm_15d_q90,antecedent_rainfall_mm_15d_q95,rainfall_score_1h,rainfall_score_6h,rainfall_score_24h,rainfall_score_15d,rainfall_score_forecast_6h,rainfall_risk_score,rainfall_risk_status,rainfall_risk_category,extreme_rainfall_flag,rainfall_alert_status
2026-07-01 03:00:00,2385,2385,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,4.0,4.0,,,44.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-01 04:00:00,2386,2386,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,6.0,6.0,,,48.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-01 05:00:00,2387,2387,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,54.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-01 06:00:00,2388,2388,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,54.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-01 07:00:00,2389,2389,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,1.5,1.5,14.5,,55.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,20.0,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-01 08:00:00,2390,2390,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,2.0,2.0,14.5,,56.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,20.0,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-01 09:00:00,2391,2391,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,11.0,,58.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,20.0,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-01 16:00:00,2392,2392,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,59.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-02 01:00:00,2393,2393,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,2.0,2.0,,,59.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-02 02:00:00,2394,2394,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,3.5,3.5,,,61.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-02 03:00:00,2395,2395,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,23.5,23.5,,,65.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,40.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-02 04:00:00,2396,2396,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,3.0,3.0,,,88.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-02 07:00:00,2397,2397,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,9.5,9.5,,,91.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-02 08:00:00,2398,2398,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,101.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-03 23:00:00,2399,2399,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,101.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-04 00:00:00,2400,2400,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,20.0,20.0,,,102.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,40.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-04 01:00:00,2401,2401,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,7.0,7.0,,,122.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-04 02:00:00,2402,2402,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,129.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-05 04:00:00,2403,2403,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,129.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-05 05:00:00,2404,2404,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,2.0,2.0,,,130.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-05 06:00:00,2405,2405,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,1.0,1.0,,,132.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-06 03:00:00,2406,2406,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,4.0,4.0,,,133.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-06 04:00:00,2407,2407,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,1.0,1.0,,,137.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-07 11:00:00,2408,2408,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,127.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-07 12:00:00,2409,2409,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,128.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-07 13:00:00,2410,2410,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,126.5,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
2026-07-07 15:00:00,2411,2411,Gairsain (Ramganga),Uttarakhand,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.045,79.2855,0.5,0.5,,,126.0,,27.75,45.95,47.0,,,,283.25,313.55,321.525,10.0,,,15.0,,,PARTIAL,PARTIAL,False,NORMAL
