Station,rainfall_mm_6h_q75,rainfall_mm_6h_q90,rainfall_mm_6h_q95,rainfall_mm_24h_q75,rainfall_mm_24h_q90,rainfall_mm_24h_q95,antecedent_rainfall_mm_15d_q75,antecedent_rainfall_mm_15d_q90,antecedent_rainfall_mm_15d_q95
Gairsain (Ramganga),27.75,45.95,47.0,,,,283.25,313.55,321.525
Nandprayag (Nandakini),10.875,14.0,15.0,45.5,53.0,55.449999999999996,148.5,233.50000000000006,269.29999999999995
